"Specie","Freq"
"Austroeupatorium inulaefolium",167
"Austroeupatorium inulifolium",19
"Austroeupatorium laetevirens",9
"Austroeupatorium picturatum",14
"Avicennia schaueriana",39
"Axonopus argentinus",10
"Axonopus brasiliensis",3
"Axonopus compressus",38
"Axonopus fissifolius",13
"Axonopus marginatus",1
"Axonopus obtusifolius",23
"Axonopus polystachyus",22
"Axonopus purpusii",2
"Axonopus scoparius",9
"Axonopus siccus",15
"Axonopus suffultus",14
"Azara uruguayensis",19
"Azolla filiculoides",4
"Baccharis aliena",38
"Baccharis angusticeps",4
"Baccharis anomala",148
"Baccharis apicifoliosa",12
"Baccharis aracatubensis",4
"Baccharis arenaria",1
"Baccharis articulata",75
"Baccharis brachylaenoides",1
"Baccharis brevifolia",1
"Baccharis breviseta",7
"Baccharis calvescens",76
"Baccharis caprariifolia",9
"Baccharis chionolaenoides",7
"Baccharis cognata",8
"Baccharis conyzoides",42
"Baccharis coridifolia",8
"Baccharis coronata",7
"Baccharis crispa",146
"Baccharis cultrata",3
"Baccharis curitybensis",11
"Baccharis deblei",12
"Baccharis dentata",38
"Baccharis dracunculifolia",163
"Baccharis erigeroides",15
"Baccharis erioclada",33
"Baccharis flexuosiramosa",8
"Baccharis floccosa",9
"Baccharis glaziovii",7
"Baccharis gnaphalioides",13
"Baccharis grandimucronata",1
"Baccharis helichrysoides",23
"Baccharis illinita",12
"Baccharis incisa",18
"Baccharis intermixta",51
"Baccharis junciformis",18
"Baccharis lateralis",4
"Baccharis leucocephala",27
"Baccharis leucopappa",26
"Baccharis linearifolia",6
"Baccharis longiattenuata",13
"Baccharis lymanii",41
"Baccharis malmei",3
"Baccharis megapotamica",29
"Baccharis mesoneura",6
"Baccharis microcephala",5
"Baccharis microdonta",79
"Baccharis milleflora",64
"Baccharis minutiflora",1
"Baccharis montana",67
"Baccharis muelleri",2
"Baccharis myricifolia",5
"Baccharis myriocephala",8
"Baccharis napaea",6
"Baccharis nebularis",7
"Baccharis nitida",1
"Baccharis nummularia",22
"Baccharis oblongifolia",119
"Baccharis ochracea",14
"Baccharis oreophila",18
"Baccharis organensis",7
"Baccharis oxyodonta",61
"Baccharis paranensis",36
"Baccharis pauciflosculosa",1
"Baccharis pentaptera",14
"Baccharis pentodonta",37
"Baccharis petraea",9
"Baccharis phylicifolia",16
"Baccharis pseudomyriocephala",2
"Baccharis pseudovillosa",17
"Baccharis psiadioides",1
"Baccharis punctulata",33
"Baccharis ramboi",15
"Baccharis reticularia",1
"Baccharis retusa",3
"Baccharis sagittalis",31
"Baccharis scabrifolia",3
"Baccharis scopulorum",14
"Baccharis selloi",9
"Baccharis semiserrata",80
"Baccharis serrulata",8
"Baccharis singularis",28
"Baccharis sphagnophila",7
"Baccharis spicata",51
"Baccharis subdentata",4
"Baccharis subtropicalis",20
"Baccharis tarchonanthoides",5
"Baccharis tridentata",8
"Baccharis trimera",43
"Baccharis uleana",9
"Baccharis uncinella",84
"Baccharis urvilleana",4
"Baccharis usterii",5
"Baccharis vincifolia",8
"Baccharis vulneraria",37
"Baccharis wagenitzii",23
"Baccharis weirii",20
"Bacopa australis",1
"Bacopa monnieri",14
"Bacopa stricta",1
"Bactris setosa",41
"Balfourodendron riedelianum",44
"Banara parviflora",23
"Banara tomentosa",42
"Barbosella australis",2
"Barbosella cogniauxiana",5
"Barbosella dusenii",6
"Barbosella gardneri",2
"Barbosella miersii",7
"Barbosella trilobata",1
"Barrosoa betonicaeformis",6
"Barrosoa candolleana",30
"Barrosoa ramboi",1
"Baskervilla paranaensis",1
"Bathysa australis",99
"Bauhinia affinis",7
"Bauhinia forficata",131
"Bauhinia uruguayensis",7
"Bazzania jamaicensis",3
"Bazzania nitida",13
"Becquerelia cymosa",17
"Becquerelia muricata",18
"Begonia angulata",22
"Begonia barkleyana",3
"Begonia biguassuensis",15
"Begonia calvescens",26
"Begonia camposportoana",1
"Begonia catharinensis",33
"Begonia convolvulacea",29
"Begonia cucullata",81
"Begonia descoleana",53
"Begonia echinosepala",12
"Begonia fischeri",87
"Begonia fruticosa",145
"Begonia fuscocaulis",12
"Begonia garuvae",3
"Begonia hammoniae",97
"Begonia hilariana",10
"Begonia hirtella",23
"Begonia hispida",7
"Begonia isopterocarpa",18
"Begonia itatinensis",22
"Begonia konder-reisiana",4
"Begonia konderreisiana",13
"Begonia lineolata",1
"Begonia paleata",12
